cdata_datasetID,cdata_coreName,cdata_altCoreName,cdata_collectTime,cdata_minYear,cdata_maxYear,cdata_archiveSpecies,cdata_isDatabaseDuplicate,cdata_dataCoverageGroup,cdata_coralNotes,geo_latitude,geo_longitude,geo_siteName,geo_siteName2,geo_elevation,geo_elevationNotes,dating_refDate,dating_UThDate,dating_14CDate,dating_notes,meths_primaryVariablesList,meths_additionalVariablesList,meths_TEMethod,meths_TEMethodMachine,meths_isotopeMethod,meths_isotopeMethodMachine,meths_luminMethod,meths_luminMethodMachine,meths_altMethodInfo,meths_methodNotes,meths_hasResolutionNominal,meths_resolutionMin,meths_resolutionMax,meths_resolutionMean,meths_resolutionMedian,meths_resolutionMode,meths_isAnomaly,cdata_chronologyNotes,meths_coralExtensionRate,meths_coralExtensionRateNotes,meths_tissueThickness,meths_jcpMeasured,meths_jcpSrCaValue,meths_SrCaAnalyticalPrecision,meths_SrCaAnalyticalPrecisionUnits,meths_UCaAnalyticalPrecision,meths_UCaAnalyticalPrecisionUnits,meths_d18OAnalyticalPrecision,meths_d18OAnalyticalPrecisionUnits,meths_altPrecisionList,meths_altAnalyticalPrecision,meths_altAnalyticalPrecisionUnits,meths_archiveDiagenesisCheck,calib_isSSTCalibration,calib_useSSTCalibration,calib_hasAlternateCalibration,calib_notes,calib_isComposite,calib_compositeList,calib_SSTdata,calib_fitPeriod,calib_hasCentredEquation,calib_centredEquationNotes,calib_method,calib1_equationIntercept,calib1_equationSlope,calib1_equationSlopeUncertainty,calib1_equationR2,calib2_equationIntercept,calib2_equationSlope,calib2_equationSlopeUncertainty,calib2_equationR2,calib3_equationIntercept,calib3_equationSlope,calib3_equationSlopeUncertainty,calib3_equationR2,pub1_firstauthor,pub1_year,pub1_doi,pub1_citation,pub1_authors,pub1_title,pub1_journal,pub1_doiData,pub_altDataURL,pub2_firstauthor,pub2_year,pub2_doi,pub2_citation,pub2_authors,pub2_title,pub2_journal,pub2_altDataURL,pub3_firstauthor,pub3_year,pub3_doi,pub3_citation,pub3_authors,pub3_title,pub3_journal,pub3_altDataUrl,pub_isCoreIDOtherStudy,pub_coreIDOtherStudyList
AL03DAV01_1,Davies 2,Davies 2 side,1993-10,1989,1993,Porites mayeri,T,3,"Located 18.82S, 147.64E for reef centre from GBRMPA reefs & shoals shapefile",-18.8,147.7,Davies Reef,,-3.1,3.1m below low tide mark,NA,NA,NA,NA,SrCa,Dist,TIMS,Finnigan MAT 261,NA,NA,NA,NA,NA,Ledge sampled every 0.25 mm using a 2 mm diameter drill bit. SrCa reproducibility of 0.15%.,fortnightly_uneven,49,51,50,50,51,F,SrCa compared with weekly averaged in situ SSTs,13,13 ± 3 mm/year; 30 um/day ± 19% RSD ,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,T,T,F,,F,NA,AIMS in situ logger,1990-1993,F,NA,WLS,10.46,-0.06,0.001,0.9025,NA,NA,NA,NA,NA,NA,NA,NA,"Alibert, C.",2003,10.1016/S0016-7037(02)01055-4,"Alibert, C., Kinsley, L., Fallon, S.J., McCulloch, M.T., Berkelmans, R. & McAllister, F. (2003), 'Source of trace element variability in Great Barrier Reef corals affected by the Burdekin flood plumes', Geochimica et Cosmochimica Acta, vol. 67, no. 2, pp. 231-246, doi: 10.1016/S0016-7037(02)01055-4.","Alibert, C., Kinsley, L., Fallon, S.J., McCulloch, M.T., Berkelmans, R. & McAllister, F.",Source of trace element variability in Great Barrier Reef corals affected by the Burdekin flood plumes,Geochimica et Cosmochimica Acta,,,"Alibert, C.",1997,10.1029/97PA00318.,"Alibert, C. & McCulloch, M.T. (1997), 'Strontium/calcium ratios in modern Porites corals From the Great Barrier Reef as a proxy for sea surface temperature: Calibration of the thermometer and monitoring of ENSO', Paleoceanography, vol. 12, no. 3, pp. 345-363, 10.1029/97PA00318.","Alibert, C. & McCulloch, M.T.",Strontium/calcium ratios in modern Porites corals From the Great Barrier Reef as a proxy for sea surface temperature: Calibration of the thermometer and monitoring of ENSO,Paleoceanography,,,,,,,,,,T,Alibert et al. 1997; Fallon et al. 2003
AL03DAV01_2,Davies 2,Davies 2 side,1993-10,1989,1993,Porites mayeri,T,3,"Located 18.82S, 147.64E for reef centre from GBRMPA reefs & shoals shapefile",-18.8,147.7,Davies Reef,,-3.1,3.1m below low tide mark,NA,NA,NA,NA,Ba; BaCa; Cd; Mn; MnCa; P; Y,Dist,LA-ICP-MS,ArF excisor laser beam paired with Fisons PQII Q-ICP-MS or Agilent 7500s Q-ICP-MS,NA,NA,NA,NA,NA,Laser ablation as per Sinclair 1999 & Fallon et al. 1999. See Table 1.1 in publication for standards measurements. In-house pressed-powder coral standard and NIST 614 glass standard.,fortnightly_uneven,46,48,46.67,46,46,F,SrCa compared with weekly averaged in situ SSTs,13,13 ± 3 mm/year; 30 um/day ± 19% RSD ,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,F,F,F,No calibration applied,F,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alibert, C.",2003,10.1016/S0016-7037(02)01055-4,"Alibert, C., Kinsley, L., Fallon, S.J., McCulloch, M.T., Berkelmans, R. & McAllister, F. (2003), 'Source of trace element variability in Great Barrier Reef corals affected by the Burdekin flood plumes', Geochimica et Cosmochimica Acta, vol. 67, no. 2, pp. 231-246, doi: 10.1016/S0016-7037(02)01055-4.","Alibert, C., Kinsley, L., Fallon, S.J., McCulloch, M.T., Berkelmans, R. & McAllister, F.",Source of trace element variability in Great Barrier Reef corals affected by the Burdekin flood plumes,Geochimica et Cosmochimica Acta,,,,,,,,,,,,,,,,,,,T,Alibert et al. 1997; Fallon et al. 2003
AL03PAN01_1,PAN 98-2,PAN 98-2 B3,1998-10,1994,1998,Porites sp.,T,3,,-18.8,146.4,Pandora Reef,,NA,None,NA,NA,NA,NA,SrCa,Dist,TIMS,Finnigan MAT 261,NA,NA,NA,NA,NA,Ledge sampled every 0.25 mm. SrCa reproducibility of 0.15%.,fortnightly_uneven,31,68,42.5,35.5,31,F,SrCa compared with weekly averaged in situ SSTs,NA,60 um/day ± 37% RSD ,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes; SEM,T,T,F,,F,NA,GBRMPA in situ loggers averaged and blended,1988-1993,F,NA,WLS,10.29,-0.0537,0.0006,0.9216,NA,NA,NA,NA,NA,NA,NA,NA,"Alibert, C.",2003,10.1016/S0016-7037(02)01055-4,"Alibert, C., Kinsley, L., Fallon, S.J., McCulloch, M.T., Berkelmans, R. & McAllister, F. (2003), 'Source of trace element variability in Great Barrier Reef corals affected by the Burdekin flood plumes', Geochimica et Cosmochimica Acta, vol. 67, no. 2, pp. 231-246, doi: 10.1016/S0016-7037(02)01055-4.","Alibert, C., Kinsley, L., Fallon, S.J., McCulloch, M.T., Berkelmans, R. & McAllister, F.",Source of trace element variability in Great Barrier Reef corals affected by the Burdekin flood plumes,Geochimica et Cosmochimica Acta,,,,,,,,,,,,,,,,,,,F,NA
AL03PAN01_2,PAN 98-2,PAN 98-2 B1 & B3,1998-10,1994,1998,Porites sp.,T,3,"PAN-98-2 B3-B1 BaCa corrected against NIST standard or coral standard, as specified in field name. Note the overlapping chronologies for parts of 1994-1993 and 1992-1989.",-18.8,146.4,Pandora Reef,,NA,None,NA,NA,NA,NA,BaCa; Cd; Mn; MnCa; P; Y,Dist,LA-ICP-MS,ArF excisor laser beam paired with Fisons PQII Q-ICP-MS or Agilent 7500s Q-ICP-MS,NA,NA,NA,NA,NA,Laser ablation as per Sinclair 1999 & Fallon et al. 1999. See Table 1.1 in publication for standards measurements. In-house pressed-powder coral standard and NIST 614 glass standard.,weekly_uneven,60,109,84.22,81,100,F,SrCa compared with weekly averaged in situ SSTs; slice B1 matched only a small number of data points with SST record.,NA,60 um/day ± 37% RSD ,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes; SEM,F,F,F,No calibration applied,F,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alibert, C.",2003,10.1016/S0016-7037(02)01055-4,"Alibert, C., Kinsley, L., Fallon, S.J., McCulloch, M.T., Berkelmans, R. & McAllister, F. (2003), 'Source of trace element variability in Great Barrier Reef corals affected by the Burdekin flood plumes', Geochimica et Cosmochimica Acta, vol. 67, no. 2, pp. 231-246, doi: 10.1016/S0016-7037(02)01055-4.","Alibert, C., Kinsley, L., Fallon, S.J., McCulloch, M.T., Berkelmans, R. & McAllister, F.",Source of trace element variability in Great Barrier Reef corals affected by the Burdekin flood plumes,Geochimica et Cosmochimica Acta,,,,,,,,,,,,,,,,,,,F,NA
AR23DIP01,Dip-04,NA,1988-01,1979,1987,Isopora sp.,F,3,"Sample originally measured by T. Razak, but has not been published previously. Age model assigned by A. Arzey.",-18.414,147.448,Dip Reef,,NA,None,NA,NA,NA,NA,BaCa; MgCa; SrCa; UCa; YCa,,Q-ICP-MS,Thermo X-Series II quadrupole inductively coupled plasma-mass spectrometer,NA,NA,NA,NA,NA,Milled at 1 mm increments with a 1–2 mm depth using a hand-held drill and 1 mm diamond drill bit.,monthly_uneven,14,19,17,17,17,F,SrCa maxima & minima matched with HadISST1.1 minima & maxima. Cross-checked with UCa.,NA,None,NA,T,8.82,0.15,%,0.59,%,NA,NA,BaCa; MgCa; YCa,1.29; 0.23; 4.99,%; %; %,No,F,F,F,No calibration applied,F,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arzey, A. K.",,NA,,,,,,,,,,,,,,,,,,,,,,,F,NA
AR23OTI01,GUT12,NA,2012,2001,2012,Porites sp.,F,3,"Sample originally measured by A. Arzey, but data was not published previously. Latitude and longitude supplied by J. Mallela.",-23.5053,152.09225,One Tree Island,,-0.5,0.5m,NA,NA,NA,NA,BaCa; SrCa,Dist,ICP-AES,Thermo Scientific iCAP 7600 series ICP-AES,NA,NA,NA,NA,NA,Ledge sampled continuously every 0.3-0.5mm using a 2 mm drill bit.,monthly_uneven,17,35,24.2,23.5,22,F,SrCa maxima & minima matched with fortnightly averaged Reyn_SmithOIV2 SST minima & maxima,12.7,12.7 mm/year,NA,T,8.64,0.5,%,NA,NA,NA,NA,NA,NA,NA,Yes; SEM & XRD,F,F,F,No calibration applied,F,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arzey, A. K.",,NA,,,,,,,,,,,,,,,,,,,,,,,F,NA
AR23OTI02,OTI 1-3,NA,2004,1985,2003,Porites mayeri,F,2,"Sample was originally measured by S. Lewis, but data was not published previously. Age model updated by A. Arzey. Latitude and longitude inferred for reef from GBRMPA reefs & shoals shapefile. Part of ENCORE experiment - control treatment",-23.499,152.072,One Tree Island,,NA,None,NA,NA,NA,NA,BaCa; BCa; CaCa; MgCa; SrCa; UCa,Dist,LA-ICP-MS,Varian 820 inductively coupled mass spectrometer,NA,NA,NA,NA,NA,LA-ICP-MS methods as per Lewis et al. 2012 (laser 50 x 500 um rectangle on the coral surface).,monthly_uneven,12,35,19.83,19.5,19,F,"SrCa, UCa & BCa minima and maxima matched to Summer (Feb 8) and Winter (Aug 8) by S. Lewis and the selected tie-points were matched with fortnightly averaged NOAA Reyn_SmithOIv2 weekly SST.",NA,None,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,F,F,F,No calibration applied,F,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arzey, A. K.",,NA,,,,,,,,,,,,,,,,,,,,,,,F,NA
AR23OTI03,OTI 3-1,NA,2004,1983,2003,Porites mayeri,F,2,"Sample was originally measured by S. Lewis, but data was not published previously. Age model updated by A. Arzey. Latitude and longitude inferred for reef from GBRMPA reefs & shoals shapefile. Part of ENCORE experiment - elevated nitrogen treatment.",-23.499,152.072,One Tree Island,,NA,None,NA,NA,NA,NA,BaCa; BCa; CaCa; MgCa; SrCa; UCa,Dist,LA-ICP-MS,Varian 820 inductively coupled mass spectrometer,NA,NA,NA,NA,NA,LA-ICP-MS methods as per Lewis et al. 2012 (laser 50 x 500 um rectangle on the coral surface).,monthly_uneven,4,27,17.4,18,14,F,"SrCa, UCa & BCa minima and maxima matched to Summer (Feb 8) and Winter (Aug 8) by S. Lewis and the selected tie-points were matched with fortnightly averaged NOAA Reyn_SmithOIv2 weekly SST.",NA,None,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,F,F,F,No calibration applied,F,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arzey, A. K.",,NA,,,,,,,,,,,,,,,,,,,,,,,F,NA
AR23OTI04,OTI4_6C,OTI-4-19-6C,Fossil,-3825,-3799,Porites sp.,F,2,"Sample was originally measured by S. Lewis, but data was not published previously. Age model created by A. Arzey. Latitude and longitude inferred for reef from GBRMPA reefs & shoals shapefile. ",-23.499,152.072,One Tree Island,,-6.2,Drill core depth 5.72 - 7.47. Assumed 6.2m depth.,-3799,5775 ± 11,NA,Alternate slice of coral dated July 2022. Date sample taken from middle section of coral slice.,BaCa; BCa; CaCa; MgCa; SrCa; UCa,Dist,LA-ICP-MS,Varian 820 inductively coupled mass spectrometer,NA,NA,NA,NA,NA,LA-ICP-MS methods as per Lewis et al. 2012 (laser 50 x 500 um rectangle on the coral surface).,monthly_uneven,18,49,31.52,32,19,F,SrCa maxima matched to winter minima (August 15) and fine tuned using UCa.,NA,None,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,F,F,F,No calibration applied,F,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arzey, A. K.",,NA,,,,,,,,,,,,,,,,,,,,,,,F,NA
AR23OTI05,OTI4_6D,OTI-4-22-6D,Fossil,-3770,-3759,Porites sp.,F,2,"Sample was originally measured by S. Lewis, but data was not published previously. Age model created by A. Arzey. Latitude and longitude inferred for reef from GBRMPA reefs & shoals shapefile.",-23.499,152.072,One Tree Island,,-6.5,Drill core depth 5.72 - 7.48. Assumed 6.5m depth.,-3759,5721 ± 11,NA,Alternate slice of coral dated July 2022. Date sample taken from basal section of coral slice.,BaCa; BCa; CaCa; MgCa; SrCa; UCa,Dist,LA-ICP-MS,Varian 820 inductively coupled mass spectrometer,NA,NA,NA,NA,NA,LA-ICP-MS methods as per Lewis et al. 2012 (laser 50 x 500 um rectangle on the coral surface).,fortnightly_uneven,29,43,33.4,32.5,29,F,SrCa maxima matched to winter minima (August 15) and fine tuned using UCa.,NA,None,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,F,F,F,No calibration applied,F,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arzey, A. K.",,NA,,,,,,,,,,,,,,,,,,,,,,,F,NA
